"Address","Errors","Warnings","Total Types","Unique Types","Type-1","Type-2","Type-3","Type-4","Type-5","Type-6","Indexability","Indexability Status"
"https://www.bettersleep.com/blog/sleep/page/7/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/5/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/3/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/21/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/11/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/23/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/13/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/25/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/27/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/15/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/17/","0","0","1","1","website","","","","","","Indexable",""
"https://www.bettersleep.com/blog/sleep/page/19/","0","0","1","1","website","","","","","","Indexable",""
